Unnamed: 0,�����Ҹ�,station_name,station_id,station_num,WGS84lat,WGS84lon,lat,lon,value,x,y,nodes,passenger_count,normalized_passenger_count,adjusted_passenger_count,pheromone
12,설악5일시장,Myeon-Office,239000381,44314,37.6767,127.4935,37.6767,127.4935,4,81,91,"(81, 91)",3421,0.2408137407,8.61220611,8.61220611
13,명장마을(설악방향),Myeongjang Burak,239000653,44406,37.6707333,127.48795,37.6707333,127.48795,4,76,85,"(76, 85)",1030,0.07250457553,6.087568633,6.087568633
14,명장삼거리,Myeongjang Samgeori,239000837,44809,37.6674667,127.4836167,37.6674667,127.4836167,4,71,82,"(71, 82)",33,0.002322962129,5.034844432,5.034844432
15,묵안리,Mugan-ri,239000398,44309,37.6034333,127.5329,37.6034333,127.5329,4,121,18,"(121, 18)",10,0.0007039279178,5.010558919,5.010558919
16,묵안리종점,Mugan-ri Bus Terminal,239000399,44163,37.5966333,127.5397,37.5966333,127.5397,4,128,11,"(128, 11)",29,0.002041390962,5.030620864,5.030620864
17,미사1리회관,Misa 1-ri Community Center,239000346,44333,37.7042833,127.5394833,37.7042833,127.5394833,4,127,118,"(127, 118)",0,0,5,5
18,미사2리회관,Misa 2-ri Community Center,239000348,44478,37.7129333,127.5411,37.7129333,127.5411,4,129,127,"(129, 127)",0,0,5,5
19,바하마,Bahama,239000620,44090,37.7192667,127.4325167,37.7192667,127.4325167,4,20,133,"(20, 133)",7,0.0004927495424,5.007391243,5.007391243
20,발전소,Power Plant,239000619,44081,37.7227167,127.4222167,37.7227167,127.4222167,4,10,137,"(10, 137)",7,0.0004927495424,5.007391243,5.007391243
21,방일리,Bang-il-ri,239000420,44294,37.6232667,127.4951333,37.6232667,127.4951333,4,83,37,"(83, 37)",341,0.024003942,5.36005913,5.36005913
22,배치고개,Baechi Gogae,239000703,44419,37.6650333,127.4457667,37.6650333,127.4457667,4,34,79,"(34, 79)",3,0.0002111783753,5.003167676,5.003167676
23,버싯게,Beositgae,239000396,44310,37.6112,127.5222333,37.6112,127.5222333,4,110,25,"(110, 25)",4,0.0002815711671,5.004223568,5.004223568
24,벌미마을,Beolmi Maeul,239000867,44843,37.6670167,127.5146167,37.6670167,127.5146167,4,102,81,"(102, 81)",45,0.00316767563,5.047515134,5.047515134
25,보물섬,Bomulseom,239000614,44554,37.6844667,127.4698167,37.6844667,127.4698167,4,58,99,"(58, 99)",16,0.001126284668,5.01689427,5.01689427
26,불기마을,Bulgi Maeul,239000606,44386,37.6355333,127.4817833,37.6355333,127.4817833,4,70,50,"(70, 50)",109,0.007672814304,5.115092215,5.115092215
27,뽀루봉,Pporubong,239000616,44084,37.72115,127.4278,37.72115,127.4278,4,16,135,"(16, 135)",7,0.0004927495424,5.007391243,5.007391243
28,뽕나무거리,Ppongnamu Street,239000372,44514,37.6414667,127.47635,37.6414667,127.47635,4,64,56,"(64, 56)",88,0.006194565676,5.092918485,5.092918485
29,사룡리마을회관,Saryong-ri Community Center,239000706,44684,37.6921,127.4878167,37.6921,127.4878167,4,76,106,"(76, 106)",1538,0.1082641138,6.623961706,6.623961706
30,산포마을(모곡방면),Sanpo Maeul,239000505,44528,37.67495,127.5005167,37.67495,127.5005167,4,88,89,"(88, 89)",3421,0.2408137407,8.61220611,8.61220611
31,삼밭골,Sambatgol,239000389,44116,37.68735,127.4644167,37.68735,127.4644167,4,52,101,"(52, 101)",16,0.001126284668,5.01689427,5.01689427
32,설곡회관,Seolgok Community Center,239000404,44305,37.6211333,127.51955,37.6211333,127.51955,4,107,35,"(107, 35)",34,0.00239335492,5.035900324,5.035900324
33,연하리,Seorak TR,239000697,44708,37.6778833,127.48845,37.6778833,127.48845,4,76,92,"(76, 92)",358,0.02520061946,5.378009292,5.378009292
34,설악중고교앞,Seorak Middle & High School,239000790,44773,37.682,127.4910333,37.682,127.4910333,4,79,96,"(79, 96)",712,0.05011966775,5.751795016,5.751795016
35,설악터미널,Seorak Terminal,239000374,44126,37.6776333,127.48875,37.6776333,127.48875,4,77,92,"(77, 92)",14206,1,20,20
36,성곡부락/마을,Seonggok Burak,239000406,44583,37.6167667,127.5362833,37.6167667,127.5362833,4,124,31,"(124, 31)",10,0.0007039279178,5.010558919,5.010558919
37,소설부락/마을,Soseolburak,239000405,44509,37.61825,127.5255667,37.61825,127.5255667,4,113,32,"(113, 32)",4,0.0002815711671,5.004223568,5.004223568
38,솔고개,Solgogae,239000387,44118,37.6772833,127.47005,37.6772833,127.47005,4,58,91,"(58, 91)",60,0.004223567507,5.063353513,5.063353513
39,송산2리,Songsan 2-ri,239000343,44598,37.7207167,127.5262333,37.7207167,127.5262333,4,114,135,"(114, 135)",30,0.002111783753,5.031676756,5.031676756
40,송산리,Songsan-ri,239000681,44827,37.6864833,127.5271,37.6864833,127.5271,4,115,101,"(115, 101)",3,0.0002111783753,5.003167676,5.003167676
41,수영인의마을,Swimmer's Village,239000707,44685,37.6980667,127.49015,37.6980667,127.49015,4,78,112,"(78, 112)",1538,0.1082641138,6.623961706,6.623961706
42,숙골,Sukgol,239000838,44810,37.6530167,127.4813667,37.6530167,127.4813667,4,69,67,"(69, 67)",18,0.001267070252,5.019006054,5.019006054
43,인내,Sincheon 4-ri Innae,239000384,44513,37.657,127.4802333,37.657,127.4802333,4,68,71,"(68, 71)",80,0.005631423342,5.08447135,5.08447135
44,안골,Angol,239000390,44108,37.7007667,127.4546333,37.7007667,127.4546333,4,42,115,"(42, 115)",14,0.0009854990849,5.014782486,5.014782486
45,양지말,Yangjimal,239000376,44102,37.7052167,127.4485667,37.7052167,127.4485667,4,36,119,"(36, 119)",62,0.00436435309,5.065465296,5.065465296
46,어비산장앞,Eobi Lodge,239000424,44209,37.5976667,127.50535,37.5976667,127.50535,4,93,12,"(93, 12)",9,0.000633535126,5.009503027,5.009503027
47,엄소리상촌,Eomsori Sangchon,239000358,44325,37.6470833,127.5008167,37.6470833,127.5008167,4,89,61,"(89, 61)",1,7.04E-05,5.001055892,5.001055892
48,엄소리입구,Eomso-ri,239000861,44837,37.6552667,127.4820667,37.6552667,127.4820667,4,70,69,"(70, 69)",33,0.002322962129,5.034844432,5.034844432
49,엄소회관,Eomso Community Center,239000356,44476,37.6482167,127.4973333,37.6482167,127.4973333,4,85,62,"(85, 62)",57,0.004012389131,5.060185837,5.060185837
50,열린효경원,Yeollin Welfare Land,239000835,44807,37.6816833,127.4709833,37.6816833,127.4709833,4,59,96,"(59, 96)",60,0.004223567507,5.063353513,5.063353513
51,영천벌,Youngcheon-ri,239000691,44674,37.6506,127.4472667,37.6506,127.4472667,4,35,65,"(35, 65)",9,0.000633535126,5.009503027,5.009503027
52,용문부락종점,Yongmunburak Bus Terminal,239000515,44338,37.6953,127.48175,37.6953,127.48175,4,70,109,"(70, 109)",1538,0.1082641138,6.623961706,6.623961706
53,울업마을,Ureop Maeul,239000352,44477,37.6848833,127.4928,37.6848833,127.4928,4,81,99,"(81, 99)",1538,0.1082641138,6.623961706,6.623961706
54,위곡1리회관,Wigok 1-ri Community Center,239000365,44320,37.67145,127.5289167,37.67145,127.5289167,4,117,86,"(117, 86)",59,0.004153174715,5.062297621,5.062297621
55,위곡2리,Wigok 2-ri,239000863,44839,37.6725333,127.5225167,37.6725333,127.5225167,4,110,87,"(110, 87)",0,0,5,5
56,위곡3리,Wigok 3-ri,239000411,44301,37.6592,127.51675,37.6592,127.51675,4,105,73,"(105, 73)",8,0.0005631423342,5.008447135,5.008447135
57,위곡3리회관,Wigok 3-ri Community Center,239000410,44302,37.65585,127.5166833,37.65585,127.5166833,4,105,70,"(105, 70)",22,0.001548641419,5.023229621,5.023229621
58,윗벌,Witbeol,239000860,44836,37.6615667,127.4809,37.6615667,127.4809,4,69,76,"(69, 76)",80,0.005631423342,5.08447135,5.08447135
59,유명산삼거리,Yumyeongsan Samgeori,239000639,44432,37.6013833,127.4930667,37.6013833,127.4930667,4,81,16,"(81, 16)",163,0.01147402506,5.172110376,5.172110376
60,유명산종점,Yumyeongsan Bus Terminal,239000418,44296,37.5954167,127.4906333,37.5954167,127.4906333,4,78,10,"(78, 10)",407,0.02864986625,5.429747994,5.429747994
61,응달말입구,Eungdalmal,239000367,44318,37.6711667,127.5186167,37.6711667,127.5186167,4,106,85,"(106, 85)",0,0,5,5
62,이천리,Icheon-ri,239000702,44675,37.6571333,127.4476333,37.6571333,127.4476333,4,35,71,"(35, 71)",3,0.0002111783753,5.003167676,5.003167676
63,전위골,Jeonwigol,239000427,44290,37.6182333,127.49125,37.6182333,127.49125,4,79,32,"(79, 32)",102,0.007180064761,5.107700971,5.107700971
64,조항마을,Joang Burak,239000397,44511,37.60425,127.52485,37.60425,127.52485,4,113,18,"(113, 18)",4,0.0002815711671,5.004223568,5.004223568
65,창말입구,Changmal,239000368,44515,37.6690333,127.513,37.6690333,127.513,4,101,83,"(101, 83)",45,0.00316767563,5.047515134,5.047515134
66,창의리,Chang-ui-ri,239000369,44317,37.6698,127.5073,37.6698,127.5073,4,95,84,"(95, 84)",53,0.003730817964,5.055962269,5.055962269
67,천안1리,Cheonan 1-ri,239000370,44316,37.6409667,127.4773667,37.6409667,127.4773667,4,65,55,"(65, 55)",122,0.008587920597,5.128818809,5.128818809
68,청심국제병원,Cheongshim Hospital,239000613,44203,37.6908333,127.5211333,37.6908333,127.5211333,4,109,105,"(109, 105)",689,0.04850063354,5.727509503,5.727509503
69,청심빌리지,Cheongsim Village,239000870,44829,37.6878333,127.5143,37.6878333,127.5143,4,102,102,"(102, 102)",391,0.02752358159,5.412853724,5.412853724
70,청아빌라1차,ChungA Villa 1-cha,239000759,44747,37.6867,127.5180833,37.6867,127.5180833,4,106,101,"(106, 101)",572,0.0402646769,5.603970153,5.603970153
71,청아빌라2차,ChungA Villa 2-cha,239000761,44749,37.6861333,127.49885,37.6861333,127.49885,4,87,100,"(87, 100)",487,0.0342812896,5.514219344,5.514219344
72,큰골,Keungol,239000517,44110,37.70045,127.4571333,37.70045,127.4571333,4,45,115,"(45, 115)",58,0.004082781923,5.061241729,5.061241729
73,탐선리/마을,Tamseon-ri,239000539,44121,37.6764667,127.4794167,37.6764667,127.4794167,4,67,91,"(67, 91)",288,0.02027312403,5.30409686,5.30409686
74,한각골부락/마을,Hangakgolburak,239000751,44733,37.6781333,127.4849833,37.6781333,127.4849833,4,73,92,"(73, 92)",358,0.02520061946,5.378009292,5.378009292
75,한교막,Hangyomak,239000382,44313,37.67245,127.4912667,37.67245,127.4912667,4,79,87,"(79, 87)",1030,0.07250457553,6.087568633,6.087568633
76,한우재,Hanujae,239000385,44312,37.64915,127.47625,37.64915,127.47625,4,64,63,"(64, 63)",82,0.005772208926,5.086583134,5.086583134
77,해방촌부락,Haebangchonburak,239000251,44096,37.7148,127.4407167,37.7148,127.4407167,4,29,129,"(29, 129)",10,0.0007039279178,5.010558919,5.010558919
78,은혜마을.사랑마을,Hwalgol,239000640,44549,37.6390833,127.5134,37.6390833,127.5134,4,101,53,"(101, 53)",42,0.002956497255,5.044347459,5.044347459
79,회곡2리회관,Hoegok 2-ri Community Center,239000699,44673,37.6725667,127.4599667,37.6725667,127.4599667,4,48,87,"(48, 87)",3,0.0002111783753,5.003167676,5.003167676
80,회곡리,Hoegok-ri,239000392,44104,37.7075167,127.4493167,37.7075167,127.4493167,4,37,122,"(37, 122)",51,0.003590032381,5.053850486,5.053850486
81,흑암,Heugam,239000865,44841,37.66955,127.5342,37.66955,127.5342,4,122,84,"(122, 84)",3,0.0002111783753,5.003167676,5.003167676
