Unnamed: 0,정류소명,station_name,station_id,station_num,WGS84lat,WGS84lon,lat,lon,value,x,y,nodes,passenger_count,normalized_passenger_count,adjusted_passenger_count,pheromone
70,위곡3리회관,Wigok 3-ri Community Center,239000410,44302.0,37.65585,127.5166833,37.65585,127.5166833,4,105,70,"(105, 70)",22.0,0.0015486414191186822,5.02322962128678,8.768757730930938
71,윗벌,Witbeol,239000860,44836.0,37.6615667,127.4809,37.6615667,127.4809,4,69,76,"(69, 76)",80.0,0.005631423342249754,5.084471350133747,8.849846294294318
72,유명산삼거리,Yumyeongsan Samgeori,239000639,44432.0,37.6013833,127.4930667,37.6013833,127.4930667,4,81,16,"(81, 16)",163.0,0.011474025059833873,5.172110375897508,8.965886824624675
73,유명산종점,Yumyeongsan Bus Terminal ,239000418,44296.0,37.5954167,127.4906333,37.5954167,127.4906333,4,78,10,"(78, 10)",407.0,0.028649866253695623,5.429747993805434,9.307018022222348
75,응달말입구,Eungdalmal,239000367,44318.0,37.6711667,127.5186167,37.6711667,127.5186167,4,106,85,"(106, 85)",0.0,0.0,5.0,8.738
76,이천리,Icheon-ri,239000702,44675.0,37.6571333,127.4476333,37.6571333,127.4476333,4,35,71,"(35, 71)",3.0,0.00021117837533436576,5.003167675630015,8.742194236036037
77,전위골,Jeonwigol,239000427,44290.0,37.6182333,127.49125,37.6182333,127.49125,4,79,32,"(79, 32)",102.0,0.007180064761368436,5.107700971420527,8.880604025225256
78,조앙부락,Joang Burak,239000397,44511.0,37.60425,127.52485,37.60425,127.52485,4,113,18,"(113, 18)",4.0,0.0002815711671124877,5.004223567506688,8.743592314714716
79,창말입구,Changmal ,239000368,44515.0,37.6690333,127.513,37.6690333,127.513,4,101,83,"(101, 83)",45.0,0.0031676756300154864,5.047515134450232,8.800913540540554
80,창의리,Chang-ui-ri,239000369,44317.0,37.6698,127.5073,37.6698,127.5073,4,95,84,"(95, 84)",53.0,0.0037308179642404618,5.055962269463607,8.812098169969985
81,천안1리,Cheonan 1-ri,239000370,44316.0,37.6409667,127.4773667,37.6409667,127.4773667,4,65,55,"(65, 55)",122.0,0.008587920596930875,5.128818808953963,8.908565598798836
83,청심국제병원,Cheongshim Hospital ,239000613,44203.0,37.6908333,127.5211333,37.6908333,127.5211333,4,109,105,"(109, 105)",689.0,0.048500633535126,5.72750950302689,9.701276209609823
84,청심빌리지,Cheongsim Village,239000870,44829.0,37.6878333,127.5143,37.6878333,127.5143,4,102,102,"(102, 102)",391.0,0.02752358158524567,5.412853723778685,9.284648763363485
85,청아빌라1차,ChungA Villa 1-cha,239000759,44747.0,37.6867,127.5180833,37.6867,127.5180833,4,106,101,"(106, 101)",572.0,0.04026467689708574,5.603970153456286,9.537701004204381
86,청아빌라2차,ChungA Villa 2-cha,239000761,44749.0,37.6861333,127.49885,37.6861333,127.49885,4,87,100,"(87, 100)",487.0,0.034281289595945376,5.514219343939181,9.418864316516668
87,큰골,Keungol,239000517,44110.0,37.70045,127.4571333,37.70045,127.4571333,4,45,115,"(45, 115)",58.0,0.004082781923131071,5.061241728846966,8.819088563363382
88,탐선리,Tamseon-ri,239000539,44121.0,37.6764667,127.4794167,37.6764667,127.4794167,4,67,91,"(67, 91)",288.0,0.02027312403209911,5.304096860481486,9.140646659459549
89,한각골부락,Hangakgolburak,239000751,44733.0,37.6781333,127.4849833,37.6781333,127.4849833,4,73,92,"(73, 92)",358.0,0.02520061945656765,5.378009291848515,9.238512166967078
90,한교막,Hangyomak,239000382,44313.0,37.67245,127.4912667,37.67245,127.4912667,4,79,87,"(79, 87)",1030.0,0.07250457553146558,6.087568632971983,10.17802103903936
91,한우재,Hanujae,239000385,44312.0,37.64915,127.47625,37.64915,127.47625,4,64,63,"(64, 63)",82.0,0.005772208925805998,5.08658313388709,8.852642451651677
92,해방촌부락,Haebangchonburak,239000251,44096.0,37.7148,127.4407167,37.7148,127.4407167,4,29,129,"(29, 129)",10.0,0.0007039279177812192,5.010558918766718,8.75198078678679
94,은혜마을.사랑마을,Hwalgol,239000640,44549.0,37.6390833,127.5134,37.6390833,127.5134,4,101,53,"(101, 53)",42.0,0.0029564972546811206,5.044347458820217,8.796719304504517
95,회곡2리회관,Hoegok 2-ri Community Center,239000699,44673.0,37.6725667,127.4599667,37.6725667,127.4599667,4,48,87,"(48, 87)",3.0,0.00021117837533436576,5.003167675630015,8.742194236036037
96,회곡리,Hoegok-ri,239000392,44104.0,37.7075167,127.4493167,37.7075167,127.4493167,4,37,122,"(37, 122)",51.0,0.003590032380684218,5.053850485710263,8.809302012612628
97,흑암,Heugam,239000865,44841.0,37.66955,127.5342,37.66955,127.5342,4,122,84,"(122, 84)",3.0,0.00021117837533436576,5.003167675630015,8.742194236036037
